                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0708,                  1.804,                  1.333,                0.01319,                0.93174,                 0.6145,                0.44755,                 1.0382,                 2.5553,                 1.1013,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.0315,                 1.2397,                  1.252,                0.81409,                0.56792,                0.68095,                0.44279,                 1.2895,                 1.8966,                 1.3641,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.0244,                 1.1218,                 1.2495,                0.73433,                0.68259,                0.76086,                0.50217,                 1.3137,                 1.2922,                 1.3587,              0.0019468,              0.0019468,              0.0019468
                      4,                 1.0411,                 1.0577,                 1.2456,                0.75497,                0.81911,                0.84647,                0.57987,                 1.1381,                 1.0597,                  1.218,              0.0019406,              0.0019406,              0.0019406
                      5,                0.97741,                0.96322,                 1.2117,                0.77986,                  0.798,                0.84361,                0.57844,                 1.1446,                 0.9738,                 1.1867,              0.0019208,              0.0019208,              0.0019208
                      6,                0.99694,                0.93757,                 1.2163,                0.81414,                0.81911,                0.87543,                0.59931,                 1.1648,                0.88292,                 1.2283,               0.001901,               0.001901,               0.001901
                      7,                 0.9757,                0.87455,                 1.1999,                0.80441,                  0.843,                0.88202,                0.58397,                 1.1839,                0.90554,                 1.2203,              0.0018812,              0.0018812,              0.0018812
                      8,                0.93553,                0.83511,                 1.1767,                0.76765,                0.81189,                 0.8515,                0.61263,                 1.0789,                0.88558,                 1.1602,              0.0018614,              0.0018614,              0.0018614
                      9,                0.91189,                0.81465,                 1.1577,                0.80634,                0.84983,                0.88897,                0.61279,                 1.1145,                0.80608,                 1.1975,              0.0018416,              0.0018416,              0.0018416
                     10,                0.92622,                0.77972,                 1.1807,                0.81468,                0.73379,                0.83308,                0.57451,                 1.1278,                0.96912,                 1.2024,              0.0018218,              0.0018218,              0.0018218
                     11,                0.91551,                0.76559,                 1.1713,                0.86417,                0.84642,                0.91135,                0.62632,                 1.1513,                0.76556,                 1.1823,               0.001802,               0.001802,               0.001802
                     12,                0.90104,                 0.7549,                 1.1637,                0.84073,                0.84673,                0.88696,                0.60582,                 1.1024,                0.79385,                 1.1511,              0.0017822,              0.0017822,              0.0017822
                     13,                0.90192,                0.74281,                 1.1601,                0.89401,                0.82935,                0.90591,                0.61819,                 1.1452,                0.79983,                 1.1962,              0.0017624,              0.0017624,              0.0017624
                     14,                0.87512,                0.70147,                 1.1544,                0.80739,                0.86348,                 0.8851,                0.62631,                 1.1201,                0.81275,                 1.1878,              0.0017426,              0.0017426,              0.0017426
                     15,                0.90594,                  0.709,                 1.1572,                0.87252,                0.81755,                0.89707,                0.62445,                 1.1073,                0.74871,                 1.1859,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88676,                0.68019,                  1.138,                0.87833,                0.82935,                0.90473,                0.62338,                 1.0512,                0.71496,                 1.1333,               0.001703,               0.001703,               0.001703
                     17,                0.87191,                0.68285,                 1.1401,                0.82694,                0.78281,                0.86227,                0.56844,                 1.1137,                0.85516,                  1.186,              0.0016832,              0.0016832,              0.0016832
                     18,                0.88344,                0.67795,                  1.129,                 0.8749,                0.84642,                0.89885,                0.62677,                 1.0471,                0.71571,                 1.1312,              0.0016634,              0.0016634,              0.0016634
                     19,                0.86974,                0.66487,                 1.1419,                0.89499,                0.86689,                0.92019,                0.65301,                 1.0841,                0.69822,                 1.1617,              0.0016436,              0.0016436,              0.0016436
                     20,                0.86269,                0.64622,                 1.1311,                0.80423,                0.84642,                0.88271,                0.65631,                 1.0307,                0.73439,                 1.1056,              0.0016238,              0.0016238,              0.0016238
                     21,                0.85913,                0.65406,                 1.1339,                0.84254,                0.88737,                0.90985,                 0.6521,                 1.0697,                0.70862,                 1.1417,               0.001604,               0.001604,               0.001604
                     22,                0.83932,                0.63195,                  1.124,                0.87646,                0.85666,                0.90842,                0.60566,                 1.1406,                 0.7122,                 1.1817,              0.0015842,              0.0015842,              0.0015842
                     23,                0.86589,                0.63771,                   1.13,                0.88242,                0.82253,                0.90058,                0.64573,                 1.1011,                0.67541,                 1.1497,              0.0015644,              0.0015644,              0.0015644
                     24,                0.83174,                0.60858,                 1.1098,                0.86105,                0.88396,                0.91543,                0.62719,                 1.1227,                0.68142,                 1.1602,              0.0015446,              0.0015446,              0.0015446
                     25,                0.83264,                0.62501,                 1.1198,                0.84523,                0.81911,                0.89006,                0.64314,                 1.0765,                0.79571,                 1.1626,              0.0015248,              0.0015248,              0.0015248
                     26,                0.84404,                0.61225,                 1.1209,                0.88092,                0.85844,                0.91968,                0.63906,                 1.0765,                0.66754,                 1.1502,               0.001505,               0.001505,               0.001505
                     27,                0.83238,                0.61332,                 1.1196,                0.83187,                0.83959,                0.88398,                0.59484,                 1.1445,                0.74075,                 1.1796,              0.0014852,              0.0014852,              0.0014852
                     28,                0.82069,                0.58457,                 1.0949,                0.88261,                 0.8157,                0.90499,                0.65783,                 1.0786,                0.74204,                 1.1523,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.8115,                0.57516,                 1.0941,                0.89299,                0.82253,                0.91869,                0.66577,                 1.0696,                0.64418,                 1.1456,              0.0014456,              0.0014456,              0.0014456
                     30,                0.80459,                0.57248,                 1.0997,                0.88549,                0.83618,                0.91037,                0.65623,                 1.0238,                 0.7039,                 1.1088,              0.0014258,              0.0014258,              0.0014258
                     31,                0.80242,                0.57453,                 1.0936,                0.81337,                0.85324,                0.89189,                0.65613,                 1.0846,                0.70351,                 1.1833,               0.001406,               0.001406,               0.001406
                     32,                 0.7775,                0.57618,                 1.0905,                0.85007,                0.87713,                0.92765,                0.68226,                 1.0333,                0.64552,                 1.1011,              0.0013862,              0.0013862,              0.0013862
                     33,                0.81172,                0.56764,                 1.0851,                0.86731,                0.84772,                0.91837,                0.66873,                 1.0649,                0.65983,                 1.1544,              0.0013664,              0.0013664,              0.0013664
                     34,                0.77613,                0.55937,                  1.082,                 0.8559,                0.85141,                0.88921,                0.61444,                 1.0594,                0.72523,                 1.1405,              0.0013466,              0.0013466,              0.0013466
                     35,                0.78878,                0.56555,                 1.1016,                0.88132,                0.84983,                0.90817,                0.66835,                 1.0244,                0.65234,                 1.1194,              0.0013268,              0.0013268,              0.0013268
                     36,                0.77082,                0.54583,                 1.0804,                0.88388,                 0.8573,                0.92949,                0.68136,                 1.0608,                0.63264,                 1.1218,               0.001307,               0.001307,               0.001307
                     37,                0.77364,                0.55659,                 1.0772,                0.87612,                0.86898,                0.91694,                0.68006,                 1.0507,                0.66914,                 1.1123,              0.0012872,              0.0012872,              0.0012872
                     38,                0.76038,                0.54316,                 1.0797,                0.88884,                0.81871,                0.90996,                0.67323,                 1.0365,                0.65579,                 1.1185,              0.0012674,              0.0012674,              0.0012674
                     39,                0.77536,                0.54338,                 1.0755,                0.81172,                0.83959,                0.87779,                0.63775,                 1.0572,                0.67217,                 1.1418,              0.0012476,              0.0012476,              0.0012476
                     40,                0.76447,                 0.5234,                 1.0648,                0.82267,                0.87087,                0.90642,                0.64022,                 1.0417,                0.64689,                 1.1292,              0.0012278,              0.0012278,              0.0012278
                     41,                0.75485,                0.52338,                 1.0661,                0.86247,                0.86007,                0.91866,                0.67431,                 1.0679,                0.63657,                 1.1356,               0.001208,               0.001208,               0.001208
                     42,                0.75085,                0.52948,                  1.075,                0.82985,                0.87372,                0.89667,                0.64284,                 1.0731,                0.65897,                 1.1701,              0.0011882,              0.0011882,              0.0011882
                     43,                0.75993,                0.52536,                 1.0672,                0.91307,                0.82453,                0.91489,                0.66439,                 1.0843,                0.65647,                 1.1681,              0.0011684,              0.0011684,              0.0011684
                     44,                0.77083,                0.52437,                 1.0742,                0.84869,                0.86007,                0.90912,                0.67231,                 1.0568,                0.62951,                  1.134,              0.0011486,              0.0011486,              0.0011486
                     45,                0.73652,                0.49906,                 1.0521,                   0.87,                0.86798,                0.91865,                0.67825,                 1.0399,                0.63352,                 1.1388,              0.0011288,              0.0011288,              0.0011288
