                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0361,                 1.9034,                 1.3047,                0.78651,                0.51551,                0.58927,                0.42328,                  1.216,                 2.0612,                 1.2886,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.0376,                 1.1945,                  1.268,                0.82312,                0.54608,                0.69984,                0.42321,                 1.3893,                 1.6555,                 1.4553,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.0416,                 1.0914,                 1.2635,                0.76192,                0.70307,                0.78632,                0.52338,                 1.2202,                 1.1805,                 1.3386,              0.0019468,              0.0019468,              0.0019468
                      4,                 1.0482,                  1.016,                  1.263,                0.76099,                 0.7099,                0.76317,                0.44853,                 1.3185,                 1.4913,                 1.3844,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0057,                0.94488,                 1.2337,                0.80913,                0.78126,                0.82907,                0.55452,                  1.175,                 1.1035,                 1.2793,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.0083,                 0.9145,                  1.228,                0.77746,                0.83618,                0.85165,                0.55578,                 1.1702,                 0.9713,                 1.2423,               0.001901,               0.001901,               0.001901
                      7,                 0.9881,                0.86762,                 1.2194,                0.81359,                0.79522,                0.85645,                0.55897,                 1.2521,                0.99242,                 1.3259,              0.0018812,              0.0018812,              0.0018812
                      8,                0.94097,                 0.8169,                  1.193,                0.76974,                0.80887,                0.86348,                0.61221,                  1.096,                0.88019,                 1.1908,              0.0018614,              0.0018614,              0.0018614
                      9,                0.92786,                0.78374,                 1.1748,                0.85919,                 0.8157,                0.88783,                0.62217,                 1.1717,                 0.8254,                 1.2194,              0.0018416,              0.0018416,              0.0018416
                     10,                0.93315,                0.76007,                 1.1823,                0.79222,                0.74403,                0.85029,                0.62066,                 1.1021,                0.85187,                 1.1943,              0.0018218,              0.0018218,              0.0018218
                     11,                0.92305,                0.75544,                 1.1932,                0.85955,                0.87031,                0.93253,                0.64324,                 1.1288,                0.70879,                 1.2148,               0.001802,               0.001802,               0.001802
                     12,                 0.9079,                0.74058,                 1.1781,                0.83728,                0.86689,                0.90676,                0.63027,                 1.0738,                0.72768,                 1.1493,              0.0017822,              0.0017822,              0.0017822
                     13,                0.91258,                0.73265,                 1.1687,                0.85223,                0.82935,                0.90073,                0.63587,                 1.1142,                0.73326,                  1.208,              0.0017624,              0.0017624,              0.0017624
                     14,                0.87512,                0.68742,                 1.1662,                0.87212,                0.86122,                0.91422,                0.59736,                  1.118,                0.74426,                 1.2038,              0.0017426,              0.0017426,              0.0017426
                     15,                0.90719,                0.70693,                  1.169,                0.84594,                0.83276,                0.89715,                0.62757,                 1.0951,                0.73967,                 1.1766,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88816,                0.69172,                 1.1511,                0.87538,                0.87031,                0.91827,                 0.6486,                 1.0482,                0.68844,                 1.1503,               0.001703,               0.001703,               0.001703
                     17,                0.87921,                 0.6791,                  1.158,                0.85138,                0.85324,                0.90377,                0.63001,                 1.1473,                0.71273,                 1.2346,              0.0016832,              0.0016832,              0.0016832
                     18,                0.87924,                0.66097,                 1.1411,                0.85418,                0.87031,                0.91502,                0.65872,                 1.0658,                0.67089,                 1.1482,              0.0016634,              0.0016634,              0.0016634
                     19,                0.87382,                0.67256,                 1.1554,                0.83352,                0.85437,                0.91025,                0.65955,                 1.0568,                0.72571,                 1.1543,              0.0016436,              0.0016436,              0.0016436
                     20,                0.86286,                0.65251,                 1.1382,                0.80306,                0.89761,                0.90334,                0.65332,                 1.0368,                0.70329,                 1.1312,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.8656,                0.64884,                 1.1437,                0.88882,                0.86689,                0.92504,                 0.6482,                 1.0427,                 0.6757,                 1.1381,               0.001604,               0.001604,               0.001604
                     22,                0.82805,                 0.6299,                 1.1193,                 0.8268,                0.87031,                0.90182,                0.62535,                 1.0397,                0.71085,                 1.1348,              0.0015842,              0.0015842,              0.0015842
                     23,                0.83768,                0.61978,                 1.1287,                 0.8834,                0.87916,                0.92053,                0.65483,                 1.0754,                0.64957,                 1.1703,              0.0015644,              0.0015644,              0.0015644
                     24,                0.81819,                0.59155,                 1.1132,                0.87649,                0.86348,                0.92468,                0.65434,                 1.0876,                0.65579,                 1.1993,              0.0015446,              0.0015446,              0.0015446
                     25,                0.82679,                0.61702,                 1.1218,                0.87517,                0.81353,                0.89761,                0.64458,                  1.045,                0.72512,                 1.1449,              0.0015248,              0.0015248,              0.0015248
                     26,                0.83102,                0.60921,                 1.1243,                0.87735,                0.87713,                0.93047,                0.66925,                 1.0635,                0.64998,                 1.1615,               0.001505,               0.001505,               0.001505
                     27,                0.82804,                0.60303,                 1.1302,                0.86438,                0.87013,                0.92095,                0.64814,                 1.1389,                  0.672,                 1.2078,              0.0014852,              0.0014852,              0.0014852
                     28,                0.80554,                0.57795,                 1.1008,                0.85997,                0.88396,                0.91005,                  0.652,                 1.0755,                0.61608,                 1.1818,              0.0014654,              0.0014654,              0.0014654
                     29,                0.80949,                0.56545,                 1.1058,                0.87116,                0.85386,                0.92885,                  0.686,                 1.0281,                0.58899,                 1.1388,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.8125,                0.57861,                 1.1171,                0.83158,                0.89312,                0.90868,                0.66836,                 1.0515,                0.66113,                 1.1646,              0.0014258,              0.0014258,              0.0014258
                     31,                0.80971,                 0.5749,                 1.1027,                0.80558,                0.85666,                0.89332,                 0.6559,                 1.0386,                0.70908,                 1.1566,               0.001406,               0.001406,               0.001406
                     32,                0.79244,                0.57096,                 1.1117,                0.89476,                0.82253,                0.91605,                0.66322,                 1.0509,                0.68237,                 1.1642,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.8074,                0.56502,                 1.0936,                0.87458,                0.88058,                0.92861,                0.65389,                 1.0698,                0.64132,                 1.1643,              0.0013664,              0.0013664,              0.0013664
                     34,                0.77194,                0.54498,                 1.0877,                0.86377,                0.88724,                0.92612,                0.66487,                 1.0381,                0.65264,                 1.1424,              0.0013466,              0.0013466,              0.0013466
