                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0722,                 1.6358,                 1.4299,                0.57953,                0.13652,                0.22344,                0.13292,                 1.6991,                  2.816,                 2.2342,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.1831,                 1.3159,                 1.4799,                0.03741,                0.17747,                0.01908,                0.00664,                  2.525,                 6.1129,                 4.3611,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.1851,                 1.2082,                 1.4844,                0.32085,                0.41922,                0.27512,                0.11242,                 1.8782,                 3.8771,                 2.5932,              0.0019468,              0.0019468,              0.0019468
                      4,                 1.1712,                 1.1145,                 1.4489,                0.42328,                0.35154,                0.32272,                0.16297,                 1.8808,                 2.4593,                 2.1896,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1171,                 1.0387,                 1.4077,                0.72148,                0.76792,                0.77372,                0.49442,                 1.2696,                   1.43,                 1.5398,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1193,                0.97946,                 1.3953,                0.79688,                0.73646,                0.80622,                0.48966,                 1.4336,                 1.3243,                 1.6587,               0.001901,               0.001901,               0.001901
                      7,                 1.0739,                0.93159,                 1.3769,                0.53653,                0.52901,                0.54685,                0.28586,                 1.6554,                 1.4514,                 1.7747,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0348,                0.89953,                 1.3485,                0.56223,                0.45734,                0.42971,                0.22544,                 1.9464,                  1.711,                 1.9215,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0104,                0.84493,                 1.3298,                0.79035,                0.78157,                0.81461,                0.51475,                 1.3069,                 1.0923,                 1.5256,              0.0018416,              0.0018416,              0.0018416
                     10,                0.98684,                0.80006,                 1.3261,                 0.7622,                0.84983,                0.86685,                0.61321,                  1.163,                0.82874,                  1.352,              0.0018218,              0.0018218,              0.0018218
                     11,                0.97504,                0.80262,                 1.3145,                0.85279,                0.77109,                 0.8555,                0.57387,                 1.2337,                0.89783,                 1.4136,               0.001802,               0.001802,               0.001802
                     12,                0.94397,                 0.7888,                 1.3041,                0.81037,                0.84596,                0.87824,                0.60678,                 1.1406,                0.82697,                 1.3465,              0.0017822,              0.0017822,              0.0017822
                     13,                0.95918,                0.76836,                 1.2994,                0.80531,                0.74061,                0.78367,                0.47908,                 1.4626,                 1.0631,                 1.6237,              0.0017624,              0.0017624,              0.0017624
