                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71088,                0.49102,                 1.0544,                0.85661,                0.85666,                0.91172,                 0.6798,                 1.0604,                0.62988,                 1.1478,              0.0006536,              0.0006536,              0.0006536
                     36,                0.68797,                0.46711,                 1.0374,                0.87797,                0.88397,                0.91801,                0.66635,                 1.0859,                0.66991,                 1.1799,               0.000614,               0.000614,               0.000614
                     37,                0.69861,                0.47345,                 1.0382,                0.87695,                0.87567,                0.92291,                0.67327,                 1.0546,                 0.6423,                 1.1628,              0.0005744,              0.0005744,              0.0005744
                     38,                0.66672,                0.46095,                 1.0343,                0.86661,                0.86474,                 0.9147,                0.68258,                 1.0544,                0.61344,                 1.1549,              0.0005348,              0.0005348,              0.0005348
                     39,                0.67309,                0.45912,                 1.0271,                0.91498,                0.85666,                0.92407,                0.67906,                 1.0495,                0.62146,                 1.1492,              0.0004952,              0.0004952,              0.0004952
                     40,                0.66905,                0.44911,                 1.0204,                0.90123,                0.84079,                0.91931,                0.66735,                 1.0942,                0.64902,                 1.1997,              0.0004556,              0.0004556,              0.0004556
                     41,                0.63281,                0.41189,                0.99173,                0.89586,                0.86007,                0.92955,                 0.6722,                 1.0687,                0.59649,                 1.1748,               0.000416,               0.000416,               0.000416
                     42,                0.61143,                0.38466,                0.98197,                0.85997,                0.87713,                0.92143,                0.67476,                 1.0804,                0.63302,                 1.1796,              0.0003764,              0.0003764,              0.0003764
                     43,                0.59794,                0.37499,                0.98149,                 0.8578,                 0.8853,                0.92703,                0.67304,                 1.0965,                0.61212,                 1.1816,              0.0003368,              0.0003368,              0.0003368
                     44,                0.59217,                0.35865,                0.96748,                0.89226,                0.84791,                0.92449,                0.67134,                 1.0976,                0.67566,                  1.183,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57478,                0.34834,                0.95457,                0.88557,                0.87161,                0.92621,                0.68027,                 1.0782,                0.60998,                 1.1726,              0.0002576,              0.0002576,              0.0002576
                     46,                 0.5615,                0.33922,                 0.9554,                0.86864,                0.88396,                0.92289,                 0.6787,                 1.0666,                0.61121,                  1.185,               0.000218,               0.000218,               0.000218
                     47,                0.55112,                0.33683,                0.94872,                0.85296,                0.87109,                0.92177,                0.68298,                 1.0639,                0.63831,                 1.1788,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54829,                0.33371,                0.96129,                0.87136,                0.84983,                0.91899,                0.68913,                 1.0618,                0.65668,                 1.1791,              0.0001388,              0.0001388,              0.0001388
                     49,                0.54642,                0.33008,                 0.9461,                0.87734,                0.85439,                0.91754,                  0.686,                 1.0632,                0.65648,                 1.1827,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53295,                0.31993,                0.94001,                0.89797,                0.85666,                0.92471,                0.68117,                 1.0659,                0.63046,                 1.1817,               5.96e-05,               5.96e-05,               5.96e-05
